Name,Category,Sub-Category,Price,Competitor Price,Color,Size,Stock,CARE,Texture,Finish,Feel,Quality,Notes,Important Note,Images,Project Images,Product URL
BEAR PAW,Closeouts,,$247.00,$390.00,DISTRESSED BROWN,Approx 52 sq ft *Photo table is 5 ft wide,CLOSEOUT ITEM,STANDARD,DISTRESS,MEDIUM SHEEN,WAXY,PREMIUM FULL GRAIN,"Bear Paw is a beautiful distressed leather! Natural markings, the signature of fine leather, will be present. Approx Weight: 3.5 - 4.0 oz/sq.ft. Approx Thickness: 1.4-1.6mm","Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide. ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/5ee108ab0b97236a519dbc7beda955ae/1/_/1_58_3_1.jpg,,https://www.leatherhidestore.com/k1068-buttercup-tan-leather-upholstery-cow-hide-skins-12.html
BRIDLE TRAIL,Closeouts,,$299.25,$409.50,WARM BROWN,APPROX 63 sq ft *Photo table is 5 ft wide,CLOSEOUT ITEM,STANDARD,SMOOTH / NATURAL GRAIN,LOW SHEEN,SUPPLE WAXED FEEL,PREMIUM FULL GRAIN,"A premium waxed leather produced from US steer! This is a full aniline leather with a truly authentic look. Each hide says ""100% genuine leather the way leather used to be!"" No bells or whistles - made only with pure oils, waxes and dyes to create a richly toned, timeless leather. This leathers patina is further enhanced with a soft pull up effect when stretched or pulled for upholstery. It is also tough - scratch the leather and simply rub the scratches out. A full-bodied weight combined with an extra supple feel make this piece ideal for upholstery and leather goods of all types. Made for those who truly love leather! Approx Weight 3.5 oz/sq ft. Approx Thickness 1.3-1.5 mm","Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide. ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/5ee108ab0b97236a519dbc7beda955ae/0/_/0_3_1.jpg,,https://www.leatherhidestore.com/catalog/product/view/id/32761/s/k1115-bridle-trail/category/1981/
SOFT PEARL,Closeouts,,$173.25,$236.25,SOFT WHITE,Approx 45 sq ft *Photo table is 5 ft wide,CLOSEOUT ITEM,STANDARD,NATURAL,MEDIUM SHEEN,VERY SOFT,EXCELLENT,Soft Pearl is a beautiful leather at an excellent price.,"Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide. ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/5ee108ab0b97236a519dbc7beda955ae/1/_/1_44_1_1.jpg,,https://www.leatherhidestore.com/k1094-a-soft-pearl.html
SERENITY SKY,Closeouts,,$168.30,,CALMING SOFT BLUE,APPROX 51 sq ft *Photo table is 5 ft wide,CLOSEOUT ITEM,STANDARD,NATURAL GRAIN,LOW SHEEN,BUTTERY SOFT,EXCELLENT,"Soar to new heights with Serenity Sky! This leather is a soft blue that reminds you of a cloudless sky on a sunny day, perfect for taking flight. This gorgeous leather is very soft and exceptionally durable, making it ideal for both furniture and automotive applications. We have received quite a large quantity of this leather, so don't hesitate to inquire regarding those big projects! Approx Weight 2.6 - 3.0 oz / sq ft Approx Thickness 1.0 - 1.2","Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide. ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/5ee108ab0b97236a519dbc7beda955ae/k/7/k756_c1_2.jpg,,https://www.leatherhidestore.com/k756-serenity-sky.html
IVORY MIST,Closeouts,,$138.75,$194.25,IVORY WHITE,Approx 37 sq ft *Photo table is 5 ft wide,CLOSEOUT ITEM,STANDARD,PEBBLE,MEDIUM SHEEN,VERY SOFT,EXCELLENT,This is a beautiful leather at an excellent price.,"Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide. ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/5ee108ab0b97236a519dbc7beda955ae/1/_/1_52_1_1_1_1.jpg,,https://www.leatherhidestore.com/k1104-c-fresh-snow-1.html
BROWN 811,Closeouts,,$288.75,$404.25,DARK CHOCOLATE,Approx 77 sq ft *Photo table 5 ft wide,CLOSEOUT ITEM,STANDARD,SMALL PEBBLE,MEDIUM,VERY SOFT,PREMIUM FULL GRAIN,THIS HIDE IS HEAVIER THAN TYPICAL UPHOLSTERY. BEAUTIFUL COLOR! GORGEOUS LEATHER! Approx Weight 2.8 oz/sq.ft. Approx Thickness: 1.4-1.6mm,"Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide. ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/7061ee312210ff199fca5e49e3bdfd40/b/r/brown_811_4_.jpg,,https://www.leatherhidestore.com/brown-811-leather-upholstery.html
IVORY MIST,Closeouts,,$243.75,$273.00,IVORY,Approx 65 sq ft *Photo table is 5 ft wide,CLOSEOUT ITEM,STANDARD,PEBBLE,MEDIUM SHEEN,VERY SOFT,EXCELLENT,This is a beautiful leather at an excellent price.,"Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide. ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/5ee108ab0b97236a519dbc7beda955ae/1/_/1_52_1_1.jpg,,https://www.leatherhidestore.com/k1104-a-fresh-snow-1.html
INTO THE NIGHT,Closeouts,,$246.00,$390.00,2-TONE MIDNIGHT BLUE AND BLACK,APPROX 60 sq ft *Photo table is 5 ft wide,CLOSEOUT ITEM,STANDARD,NUBUCK,LOW SHEEN,NUBUCK / SUEDE,PREMIUM TOP GRAIN,"Into The Night is a very soft and lush nubuck leather. Nubuck is a top grain leather that has a slight nap that looks and feels like suede but is considerably stronger. Natural markings such as brands, bug bites, and scratches are to be anticipated and only enhance the natural beauty of the hide, creating a unique and rustic aesthetic. We are proud to offer this beautiful premium full-grain leather at a price anyone can afford. Approx Weight 2.6 - 3.0 oz / sq ft Approx Thickness 1.0 - 1.2 mm","Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide. ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/5ee108ab0b97236a519dbc7beda955ae/k/1/k1019_into_the_night_c2_1_1.jpg,,https://www.leatherhidestore.com/catalog/product/view/id/31533/s/k1019-b-into-the-night/
IVORY MIST,Closeouts,,$322.50,$451.50,IVORY,Approx 86 sq ft *Photo table is 5 ft wide,CLOSEOUT ITEM,STANDARD,PEBBLE,MEDIUM SHEEN,VERY SOFT,EXCELLENT,This is a beautiful leather at an excellent price.,"Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide. ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/5ee108ab0b97236a519dbc7beda955ae/1/_/1_52_1_1_1.jpg,,https://www.leatherhidestore.com/k1104-b-fresh-snow-1.html
MIRACLE BLUE,Closeouts,,$225.50,$357.50,2 TONED COBALT BLUE,APPROX 55 sq ft *Photo table is 5 ft wide,CLOSEOUT ITEM,STANDARD,NATURAL GRAIN,MEDIUM SHEEN,VERY SOFT,PREMIUM FULL GRAIN,"Miracle Blue is a very nice premium full-grain leather at a price that anyone can afford. This hide is both soft and strong, the perfect balance of comfort and durability, making it ideal for high traffic uses, It's meant to be seen, admired, lived on and most of all enjoyed. Order a sample today before these hides are gone so you can see and feel how the leather will work for your project. Approx Weight 2.6 - 3.0 oz / sq ft Approx Thickness 1.0 - 1.2 mm","Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide. ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/5ee108ab0b97236a519dbc7beda955ae/k/9/k951_miracle_blue_c1.jpg,,https://www.leatherhidestore.com/k951-miracle-blue.html
TWILIGHT BLUE,Closeouts,,$233.70,$344.50,MIDNIGHT BLUE,APPROX 57 sq ft *Photo table is 5 ft wide,CLOSEOUT ITEM,STANDARD,NATURAL GRAIN,MEDIUM SHEEN,VERY SOFT,PREMIUM FULL GRAIN,Twilight Blue is a very nice premium full grain leather at an excellent price.  Approx Weight 2.6 - 3.0 oz / sq ft Approx Thickness 1.0 - 1.2 mm,"Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide. ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/5ee108ab0b97236a519dbc7beda955ae/k/7/k727_deep_twilight_blue_c1_1.jpg,,https://www.leatherhidestore.com/k727-twilight-blue.html
TOASTED ALMOND,Closeouts,,$175.00,$262.50,TOASTED TAN,APPROX 50 sq ft *Photo table is 5 ft wide,CLOSEOUT ITEM,STANDARD,PEBBLE,MEDIUM SHEEN,VERY SOFT,EXCELLENT,"Toasted Almond is very nice leather at a price anyone can afford. This leather is both soft and strong, the perfect balance of comfort and durability, making it ideal for high traffic uses. Its meant to be seen, admired, lived on and most of all enjoyed. Order a sample today before these hides are gone so you can see and feel how the leather will work for your project. Approx Weight 2.6 - 3.0 oz/sq.ft. Approx Thickness: 1.0-1.2 mm","Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide. ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/5ee108ab0b97236a519dbc7beda955ae/k/1/k1961_toasted_almond_close_2_1_1_1_1.jpg,,https://www.leatherhidestore.com/k1961-toasted-almond-leather-upholstery-3.html
SERENITY SKY,Closeouts,,$228.75,$320.25,CALMING SOFT BLUE,APPROX 61 sq ft *Photo table is 5 ft wide,CLOSEOUT ITEM,STANDARD,NATURAL GRAIN,LOW SHEEN,BUTTERY SOFT,EXCELLENT,"Soar to new heights with Serenity Sky! This leather is a soft blue that reminds you of a cloudless sky on a sunny day, perfect for taking flight. This gorgeous leather is very soft and exceptionally durable, making it ideal for both furniture and automotive applications. We have received quite a large quantity of this leather, so don't hesitate to inquire regarding those big projects! Approx Weight 2.6 - 3.0 oz / sq ft Approx Thickness 1.0 - 1.2","Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide. ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/5ee108ab0b97236a519dbc7beda955ae/k/7/k756_c1_1.jpg,,https://www.leatherhidestore.com/k756-serenity-sky-2.html
BALLET SLIPPER,Closeouts,,$135.80,$196.00,SOFT PINK,APPROX. 28 sq ft *This is a half hide,CLOSEOUT ITEM,STANDARD,NATURAL MILL PEBBLE,MEDIUM SHEEN,SUPPLE AND SOFT,PREMIUM FULL GRAIN,"Ballet Slipper combines rich color, supple soft feel and a premium top grain cowhide into a leather that exudes luxury. Ballet Slipper is a slightly heavyweight upholstery hide that is extra plush. The grain is a natural mill pebble that has subtle variations across the hide as nature intended. While very soft, Ballet Slipper is also wear resistant and appropriate for everyday use. An exceptional leather at an exceptional price! Approx weight of hide: 3.5 oz/sq.ft. Approx thickness: 1.3-1.4 mm","Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide. ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/5ee108ab0b97236a519dbc7beda955ae/b/a/ballet_slipper_c2_1_6.jpg,"https://www.leatherhidestore.com/pub/media/lof/lazyload/default/loader.svg, https://www.leatherhidestore.com/pub/media/lof/lazyload/default/loader.svg",https://www.leatherhidestore.com/ul41a-pink-leather-hide.html
BRIDLE TRAIL,Closeouts,,$119.00,$189.00,WARM BROWN,APPROX 28 sq ft *Photo table is 5 ft wide,CLOSEOUT ITEM,STANDARD,SMOOTH / NATURAL GRAIN,LOW SHEEN,SUPPLE WAXED FEEL,PREMIUM FULL GRAIN,"A premium waxed leather produced from US steer! This is a full aniline leather with a truly authentic look. Each hide says ""100% genuine leather the way leather used to be!"" No bells or whistles - made only with pure oils, waxes and dyes to create a richly toned, timeless leather. This leathers patina is further enhanced with a soft pull up effect when stretched or pulled for upholstery. It is also tough - scratch the leather and simply rub the scratches out. A full-bodied weight combined with an extra supple feel make this piece ideal for upholstery and leather goods of all types. Made for those who truly love leather! Approx Weight 3.5 oz/sq ft. Approx Thickness 1.3-1.5 mm","Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide. ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/5ee108ab0b97236a519dbc7beda955ae/0/_/0_3_1_1_1_1_1.jpg,,https://www.leatherhidestore.com/k1115-bridle-trail-4.html
TOASTED ALMOND,Closeouts,,$199.50,$299.25,TOASTED TAN,APPROX 57 sq ft *Photo table is 5 ft wide,CLOSEOUT ITEM,STANDARD,PEBBLE,MEDIUM SHEEN,VERY SOFT,EXCELLENT,"Toasted Almond is very nice leather at a price anyone can afford. This leather is both soft and strong, the perfect balance of comfort and durability, making it ideal for high traffic uses. Its meant to be seen, admired, lived on and most of all enjoyed. Order a sample today before these hides are gone so you can see and feel how the leather will work for your project. Approx Weight 2.6 - 3.0 oz/sq.ft. Approx Thickness: 1.0-1.2 mm","Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide. ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/5ee108ab0b97236a519dbc7beda955ae/k/1/k1961_toasted_almond_close_2_1_1_1.jpg,,https://www.leatherhidestore.com/k1961-toasted-almond-leather-upholstery-2.html
SERENITY SKY,Closeouts,,$102.70,,CALMING SOFT BLUE,APPROX 29 sq ft *This is a half hide,CLOSEOUT ITEM,STANDARD,NATURAL GRAIN,LOW SHEEN,BUTTERY SOFT,EXCELLENT,"Soar to new heights with Serenity Sky! This leather is a soft blue that reminds you of a cloudless sky on a sunny day, perfect for taking flight. This gorgeous leather is very soft and exceptionally durable, making it ideal for both furniture and automotive applications. We have received quite a large quantity of this leather, so don't hesitate to inquire regarding those big projects! Approx Weight 2.6 - 3.0 oz / sq ft Approx Thickness 1.0 - 1.2","Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide. ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/5ee108ab0b97236a519dbc7beda955ae/k/7/k756_c1_3.jpg,,https://www.leatherhidestore.com/k756-serenity-sky-4.html
BRIDLE TRAIL,Closeouts,,$270.75,$370.50,WARM BROWN,APPROX 57 sq ft *Photo table is 5 ft wide,CLOSEOUT ITEM,STANDARD,SMOOTH / NATURAL GRAIN,LOW SHEEN,SUPPLE WAXED FEEL,PREMIUM FULL GRAIN,"A premium waxed leather produced from US steer! This is a full aniline leather with a truly authentic look. Each hide says ""100% genuine leather the way leather used to be!"" No bells or whistles - made only with pure oils, waxes and dyes to create a richly toned, timeless leather. This leathers patina is further enhanced with a soft pull up effect when stretched or pulled for upholstery. It is also tough - scratch the leather and simply rub the scratches out. A full-bodied weight combined with an extra supple feel make this piece ideal for upholstery and leather goods of all types. Made for those who truly love leather! Approx Weight 3.5 oz/sq ft. Approx Thickness 1.3-1.5 mm","Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide. ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/5ee108ab0b97236a519dbc7beda955ae/0/_/0_3_1_1.jpg,,https://www.leatherhidestore.com/catalog/product/view/id/32762/
